title,artist,uri,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,track_href,analysis_url,duration_ms,time_signature
Mother and Child Reunion,Paul Simon,spotify:track:5vZ1BKMSLgrxxPYGMR904n,0.712,0.632,9,-7.704,1,0.0334,0.112,0.0,0.0648,0.764,119.931,audio_features,5vZ1BKMSLgrxxPYGMR904n,https://api.spotify.com/v1/tracks/5vZ1BKMSLgrxxPYGMR904n,https://api.spotify.com/v1/audio-analysis/5vZ1BKMSLgrxxPYGMR904n,187400,4
My Lady of Spain,The Classics,spotify:track:3V3cBGNr6wBOktVKOVYuj0,0.441,0.398,2,-15.236,1,0.0273,0.0767,0.0,0.561,0.755,102.371,audio_features,3V3cBGNr6wBOktVKOVYuj0,https://api.spotify.com/v1/tracks/3V3cBGNr6wBOktVKOVYuj0,https://api.spotify.com/v1/audio-analysis/3V3cBGNr6wBOktVKOVYuj0,182933,4
My World,Bee Gees,spotify:track:1ke2Df0auUWdrP86EvCZul,0.507,0.373,9,-12.6,1,0.0259,0.346,7.29e-06,0.092,0.594,82.952,audio_features,1ke2Df0auUWdrP86EvCZul,https://api.spotify.com/v1/tracks/1ke2Df0auUWdrP86EvCZul,https://api.spotify.com/v1/audio-analysis/1ke2Df0auUWdrP86EvCZul,263173,4
Play Me,Neil Diamond,spotify:track:2DjLbdQ9q2QBd4JJxM40Uf,0.473,0.213,2,-17.951,1,0.0273,0.488,0.000147,0.132,0.341,106.461,audio_features,2DjLbdQ9q2QBd4JJxM40Uf,https://api.spotify.com/v1/tracks/2DjLbdQ9q2QBd4JJxM40Uf,https://api.spotify.com/v1/audio-analysis/2DjLbdQ9q2QBd4JJxM40Uf,232067,3
Popcorn,Hot Butter,spotify:track:6Z5wWOqBfk4G3bP1KF2Vbj,0.784,0.626,11,-14.617,0,0.0572,0.0425,0.703,0.0645,0.952,136.886,audio_features,6Z5wWOqBfk4G3bP1KF2Vbj,https://api.spotify.com/v1/tracks/6Z5wWOqBfk4G3bP1KF2Vbj,https://api.spotify.com/v1/audio-analysis/6Z5wWOqBfk4G3bP1KF2Vbj,151440,4
Poppa Joe,Sweet,spotify:track:1GyQrKyK660LcFW1iPnneq,0.745,0.887,1,-5.604,1,0.0568,0.0295,0.018,0.103,0.936,106.047,audio_features,1GyQrKyK660LcFW1iPnneq,https://api.spotify.com/v1/tracks/1GyQrKyK660LcFW1iPnneq,https://api.spotify.com/v1/audio-analysis/1GyQrKyK660LcFW1iPnneq,186813,4
Radio,Supersister,spotify:track:5dTWOe8FWrreMblkME8c44,0.525,0.453,0,-14.997,1,0.0611,0.327,0.0156,0.0677,0.707,140.145,audio_features,5dTWOe8FWrreMblkME8c44,https://api.spotify.com/v1/tracks/5dTWOe8FWrreMblkME8c44,https://api.spotify.com/v1/audio-analysis/5dTWOe8FWrreMblkME8c44,240440,4
Sacramento (A Wonderful Town),Middle Of The Road,spotify:track:6hAUzkpIfh81JFJFq72iVN,0.695,0.71,9,-13.095,1,0.0551,0.269,0.00632,0.359,0.641,136.196,audio_features,6hAUzkpIfh81JFJFq72iVN,https://api.spotify.com/v1/tracks/6hAUzkpIfh81JFJFq72iVN,https://api.spotify.com/v1/audio-analysis/6hAUzkpIfh81JFJFq72iVN,176067,4
Sealed with a Kiss,Bobby Vinton,spotify:track:26mlDJoh5bQiC7efK7xq9z,0.414,0.317,5,-12.9,0,0.026,0.678,2.56e-05,0.213,0.673,86.111,audio_features,26mlDJoh5bQiC7efK7xq9z,https://api.spotify.com/v1/tracks/26mlDJoh5bQiC7efK7xq9z,https://api.spotify.com/v1/audio-analysis/26mlDJoh5bQiC7efK7xq9z,169067,4
Smoke Gets in Your Eyes,Blue Haze,spotify:track:3kiHKOtFYoM3ULlPHNyp7T,0.563,0.656,0,-7.169,0,0.0282,0.0211,2.94e-05,0.252,0.545,118.378,audio_features,3kiHKOtFYoM3ULlPHNyp7T,https://api.spotify.com/v1/tracks/3kiHKOtFYoM3ULlPHNyp7T,https://api.spotify.com/v1/audio-analysis/3kiHKOtFYoM3ULlPHNyp7T,196147,4
